,0,1
79,-9.977789530896092e-06,-6.8914777941824455e-06
80,-1.0389946280021538e-05,-7.457001300945912e-06
81,-1.0300567638426424e-05,-7.701415813476302e-06
82,-9.768699911306655e-06,-7.524590241294531e-06
83,-9.07015157896827e-06,-7.076391797183451e-06
84,-8.579524652276571e-06,-6.67922268470848e-06
85,-8.577713218472682e-06,-6.64054529476066e-06
86,-9.097220192783055e-06,-7.07837775577972e-06
87,-9.900681849261528e-06,-7.863006453915863e-06
88,-1.062014603483227e-05,-8.71749809138366e-06
89,-1.097660434739584e-05,-9.409341093449542e-06
90,-1.0942570827946744e-05,-9.895883666868121e-06
91,-1.0746049806028347e-05,-1.03257451079013e-05
92,-1.0707685034274282e-05,-1.0888871747640867e-05
93,-1.1017880836593273e-05,-1.1622761550636866e-05
94,-1.160506732478384e-05,-1.2324546702021301e-05
95,-1.2194325597790044e-05,-1.2655611601419887e-05
96,-1.2521115463269352e-05,-1.2384834584488556e-05
97,-1.2550296507778428e-05,-1.1608135381790501e-05
98,-1.2544147786615137e-05,-1.078652715002739e-05
99,-1.2903011525529642e-05,-1.0532869217920431e-05
100,-1.3863184342953499e-05,-1.1249615650103378e-05
101,-1.5250801455092133e-05,-1.2834501017976934e-05
102,-1.6469135384978914e-05,-1.4646139362965085e-05
103,-1.676209483952049e-05,-1.5780504201021613e-05
104,-1.5619076808930236e-05,-1.5518290353692044e-05
105,-1.3089628153858101e-05,-1.3698815045906329e-05
106,-9.809569783046225e-06,-1.0803257012558727e-05
107,-6.699677155804866e-06,-7.692737063185122e-06
108,-4.503787933855282e-06,-5.1600047495107675e-06
109,-3.4324757156111405e-06,-3.552270082339111e-06
110,-3.1148917319769722e-06,-2.6755572609987978e-06
111,-2.8783669184861007e-06,-2.0186607470867017e-06
112,-2.1813927259426784e-06,-1.1376842800497016e-06
113,-9.415004296458345e-07,4.145289784889153e-08
114,4.295414044266901e-07,1.1822518910670987e-06
115,1.292041474689222e-06,1.768719742214029e-06
116,1.1791546290146712e-06,1.4552881889816125e-06
117,9.015644681048543e-08,3.122899878509311e-07
118,-1.4877582885754215e-06,-1.1814830658337486e-06
119,-2.8309086572446572e-06,-2.3876505471827388e-06
120,-3.354556714333377e-06,-2.8462317425983624e-06
121,-2.9012853717289642e-06,-2.506630242044911e-06
122,-1.7936257512862753e-06,-1.728422998832862e-06
123,-6.453295361690166e-07,-1.0654898157313359e-06
124,-5.210202211880345e-08,-9.702163112092527e-07
125,-3.2246355926837856e-07,-1.582560891986332e-06
126,-1.3700869865882807e-06,-2.6982664252847358e-06
127,-2.7916335312304843e-06,-3.904049803142532e-06
128,-4.065941692171275e-06,-4.789200304781567e-06
129,-4.777438620334613e-06,-5.117239218243539e-06
130,-4.773596324550436e-06,-4.887218995111874e-06
131,-4.204033816452837e-06,-4.285130812748687e-06
132,-3.444671459802374e-06,-3.5754136424343007e-06
133,-2.940311285683063e-06,-2.99487931276372e-06
134,-3.0197322367376036e-06,-2.688072487282152e-06
